ENSG00000148288 GBGT1 gene_1
ENSG00000163840 DTX3L gene_189
ENSG00000203499 FAM83H-AS1 gene_190
ENSG00000241356 OR5G3 gene_191
ENSG00000200471 RNU6-1125P gene_192
ENSG00000205318 GCNT6 gene_193
ENSG00000189169 KRTAP10-12 gene_194
ENSG00000128203 ASPHD2 gene_195
ENSG00000273717 RN7SL343P gene_196
ENSG00000197748 CFAP43 gene_197
ENSG00000166197 NOLC1 gene_198
ENSG00000230009 MTCO2P3 gene_199
ENSG00000082258 CCNT2 gene_200
ENSG00000114656 KIAA1257 gene_201
ENSG00000228861 RPL23AP12 gene_202
ENSG00000237309 MTND2P6 gene_203
ENSG00000266960 FAM106DP gene_204
ENSG00000100968 NFATC4 gene_205
ENSG00000140497 SCAMP2 gene_206
ENSG00000186818 LILRB4 gene_207
ENSG00000269058 CALR3 gene_208
ENSG00000250565 ATP6V1E2 gene_209
ENSG00000083750 RRAGB gene_210
ENSG00000215583 ASS1P6 gene_211
ENSG00000228638 FCF1P2 gene_212
ENSG00000243449 C4orf48 gene_213
ENSG00000277062 RN7SL88P gene_214
ENSG00000196482 ESRRG gene_215
ENSG00000049247 UTS2 gene_216
ENSG00000252866 RNA5SP243 gene_217
ENSG00000105668 UPK1A gene_218
ENSG00000241550 RN7SL41P gene_219
ENSG00000222303 RNU6-935P gene_220
ENSG00000232735 ATG4AP1 gene_221
ENSG00000105011 ASF1B gene_222
ENSG00000234465 PINLYP gene_223
ENSG00000201492 RNA5SP78 gene_224
ENSG00000227835 CARM1P1 gene_225
ENSG00000273915 MIR451A gene_226
ENSG00000003987 MTMR7 gene_227
ENSG00000054654 SYNE2 gene_228
ENSG00000222942 RN7SKP58 gene_229
ENSG00000237929 RPL31P3 gene_230
ENSG00000206877 RNU6-1103P gene_231
ENSG00000276775 IGHV4-4 gene_232
ENSG00000232104 RFX3-AS1 gene_233
ENSG00000123416 TUBA1B gene_234
ENSG00000145794 MEGF10 gene_235
ENSG00000131730 CKMT2 gene_236
ENSG00000254413 CHKB-CPT1B gene_237
ENSG00000150261 OR8K1 gene_238
ENSG00000207468 SNORA19 gene_239
ENSG00000144642 RBMS3 gene_240
ENSG00000141255 SPATA22 gene_241
ENSG00000172086 KRCC1 gene_242
ENSG00000228725 MTND2P12 gene_243
ENSG00000130635 COL5A1 gene_244
ENSG00000273841 TAF9 gene_245
ENSG00000186354 C9orf47 gene_246
ENSG00000206936 RNU4-52P gene_247
ENSG00000215269 GAGE12G gene_248
ENSG00000228294 BMS1P17 gene_249
ENSG00000163810 TGM4 gene_250
ENSG00000183166 CALN1 gene_251
ENSG00000251919 RNU7-105P gene_252
ENSG00000166689 PLEKHA7 gene_253
ENSG00000172772 OR10W1 gene_254
ENSG00000141627 DYM gene_255
ENSG00000102076 OPN1LW gene_256
ENSG00000266890 MIR4634 gene_257
ENSG00000207513 RNU1-3 gene_258
ENSG00000223281 RN7SKP85 gene_259
ENSG00000141084 RANBP10 gene_260
ENSG00000206820 RNU1-138P gene_261
ENSG00000216077 MIR887 gene_262
ENSG00000154608 CEP170P1 gene_263
ENSG00000184507 NUTM1 gene_264
ENSG00000213380 COG8 gene_265
ENSG00000135362 PRR5L gene_266
ENSG00000276410 HIST1H2BB gene_267
ENSG00000110048 OSBP gene_268
ENSG00000278184 NF1P11 gene_269
ENSG00000205054 LINC01121 gene_270
ENSG00000229924 FAM90A26 gene_271
ENSG00000108771 DHX58 gene_272
ENSG00000231428 LINC00396 gene_273
ENSG00000170430 MGMT gene_274
ENSG00000164128 NPY1R gene_275
ENSG00000254791 FAR1-IT1 gene_276
ENSG00000232976 TRIM60P10Y gene_277
ENSG00000157827 FMNL2 gene_278
ENSG00000256164 CCND2-AS1 gene_279
ENSG00000168264 IRF2BP2 gene_280
ENSG00000184302 SIX6 gene_281
ENSG00000174450 GOLGA6L2 gene_282
ENSG00000101624 CEP76 gene_283
ENSG00000240480 RPL29P2 gene_284
ENSG00000221946 FXYD7 gene_285
ENSG00000168828 OR13J1 gene_286
ENSG00000125872 LRRN4 gene_287
ENSG00000211638 IGLV8-61 gene_288
ENSG00000226976 COX6A1P2 gene_289
ENSG00000199354 RNA5SP273 gene_290
ENSG00000251807 RNU6-202P gene_291
ENSG00000161036 LRWD1 gene_292
ENSG00000134389 CFHR5 gene_293
ENSG00000229417 NPM1P25 gene_294
ENSG00000229089 ANKRD20A8P gene_295
ENSG00000180370 PAK2 gene_296
ENSG00000132530 XAF1 gene_297
ENSG00000205439 KRTAP12-3 gene_298
ENSG00000010310 GIPR gene_299
ENSG00000266715 MIR5090 gene_300
ENSG00000260389 WBP11P1 gene_301
ENSG00000200800 RNU1-130P gene_302
ENSG00000226711 FAM66C gene_303
ENSG00000243238 IGKV2-30 gene_304
ENSG00000093183 SEC22C gene_305
ENSG00000201533 RN7SKP237 gene_306
ENSG00000008018 PSMB1 gene_307
ENSG00000221855 TAS2R41 gene_308
ENSG00000275747 IGHV3-79 gene_309
ENSG00000233354 LINC00028 gene_310
ENSG00000202252 SNORD14C gene_311
ENSG00000223912 EEF1A1P36 gene_312
ENSG00000237009 GLIS3-AS1 gene_313
ENSG00000100083 GGA1 gene_314
ENSG00000239964 RN7SL748P gene_315
ENSG00000161010 C5orf45 gene_316
ENSG00000214880 OR7E5P gene_317
ENSG00000158164 TMSB15A gene_318
ENSG00000225900 HSPE1P13 gene_319
ENSG00000255371 OPCML-IT2 gene_320
ENSG00000267524 RPSAP57 gene_321
ENSG00000126246 IGFLR1 gene_322
ENSG00000117751 PPP1R8 gene_323
ENSG00000200326 RNA5SP391 gene_324
ENSG00000008323 PLEKHG6 gene_325
ENSG00000166435 XRRA1 gene_326
ENSG00000167195 GOLGA6C gene_327
ENSG00000215313 RPL6P30 gene_328
ENSG00000204525 HLA-C gene_329
ENSG00000187522 HSPA14 gene_330
ENSG00000159228 CBR1 gene_331
ENSG00000175606 TMEM70 gene_332
ENSG00000207089 RNU6-921P gene_333
ENSG00000230798 FOXD3-AS1 gene_334
ENSG00000188175 HEPACAM2 gene_335
ENSG00000118972 FGF23 gene_336
ENSG00000200520 RNU6-1214P gene_337
ENSG00000240087 RPSAP12 gene_338
ENSG00000184056 VPS33B gene_339
ENSG00000224637 PDSS1P2 gene_340
ENSG00000126860 EVI2A gene_341
ENSG00000141736 ERBB2 gene_342
ENSG00000198270 TMEM116 gene_343
ENSG00000241568 RN7SL338P gene_344
ENSG00000081842 PCDHA6 gene_345
ENSG00000147852 VLDLR gene_346
ENSG00000236791 OR2AI1P gene_347
ENSG00000131018 SYNE1 gene_348
ENSG00000178287 SPAG11A gene_349
ENSG00000230416 OR5M4P gene_350
ENSG00000130720 FIBCD1 gene_351
ENSG00000227255 CDRT15P2 gene_352
ENSG00000227209 WARS2P1 gene_353
ENSG00000248121 SMURF2P1 gene_354
ENSG00000118058 KMT2A gene_355
ENSG00000201161 RN7SKP10 gene_356
ENSG00000255374 TAS2R43 gene_357
ENSG00000222835 RNA5SP100 gene_358
ENSG00000154007 ASB17 gene_359
ENSG00000253148 RGS21 gene_360
ENSG00000106246 PTCD1 gene_361
ENSG00000221323 MIR1178 gene_362
ENSG00000156509 FBXO43 gene_363
ENSG00000056487 PHF21B gene_364
ENSG00000260031 RPL10P14 gene_365
ENSG00000265182 SRP72P1 gene_366
ENSG00000070761 CFAP20 gene_367
ENSG00000222976 RN7SKP94 gene_368
ENSG00000068024 HDAC4 gene_369
ENSG00000164093 PITX2 gene_370
ENSG00000174720 LARP7 gene_371
ENSG00000231402 WASF5P gene_372
ENSG00000120832 MTERF2 gene_373
ENSG00000105290 APLP1 gene_374
ENSG00000266852 MIR4482 gene_375
ENSG00000224577 LINC01117 gene_376
ENSG00000226299 RPSAP62 gene_377
ENSG00000229982 GTF3AP6 gene_378
ENSG00000168542 COL3A1 gene_379
ENSG00000222359 RNU6-355P gene_380
ENSG00000253534 TRBV6-8 gene_381
ENSG00000228415 PTMAP1 gene_382
ENSG00000125508 SRMS gene_383
ENSG00000215454 KRTAP10-4 gene_384
ENSG00000141040 ZNF287 gene_385
ENSG00000231645 KRT17P6 gene_386
ENSG00000070501 POLB gene_387
ENSG00000103326 CAPN15 gene_388
ENSG00000124302 CHST8 gene_389
ENSG00000206708 RNU6-1227P gene_390
ENSG00000231764 DLX6-AS1 gene_391
ENSG00000142546 NOSIP gene_392
ENSG00000243864 RPS3AP50 gene_393
ENSG00000180318 ALX1 gene_394
ENSG00000235436 DPY19L2P4 gene_395
ENSG00000225973 PIGBOS1 gene_396
ENSG00000163527 STT3B gene_397
ENSG00000104689 TNFRSF10A gene_398
ENSG00000101017 CD40 gene_399
ENSG00000262814 MRPL12 gene_400
ENSG00000140022 STON2 gene_401
ENSG00000276040 SPATA31A7 gene_402
ENSG00000200673 RN7SKP174 gene_403
ENSG00000126062 TMEM115 gene_404
ENSG00000140479 PCSK6 gene_405
ENSG00000176890 TYMS gene_406
ENSG00000261057 LINC00555 gene_407
ENSG00000168811 IL12A gene_408
ENSG00000226845 EEF1GP3 gene_409
ENSG00000272344 SNORD114-21 gene_410
ENSG00000257037 RARSP1 gene_411
ENSG00000232205 CDY18P gene_412
ENSG00000264978 RN7SL630P gene_413
ENSG00000135999 EPC2 gene_414
ENSG00000241755 IGKV1-9 gene_415
ENSG00000143190 POU2F1 gene_416
ENSG00000105953 OGDH gene_417
ENSG00000226794 MTND1P20 gene_418
ENSG00000189166 TNRC18P3 gene_419
ENSG00000229946 B3GNT2P1 gene_420
ENSG00000258726 DUXAP6 gene_421
ENSG00000111962 UST gene_422
ENSG00000132256 TRIM5 gene_423
ENSG00000265808 SEC22B gene_424
ENSG00000227002 SNRPEP10 gene_425
ENSG00000163348 PYGO2 gene_426
ENSG00000137500 CCDC90B gene_427
ENSG00000273745 MIR6870 gene_428
ENSG00000213900 RPS17P1 gene_429
ENSG00000100055 CYTH4 gene_430
ENSG00000243974 VTI1BP1 gene_431
ENSG00000119689 DLST gene_432
ENSG00000167634 NLRP7 gene_433
ENSG00000164932 CTHRC1 gene_434
ENSG00000213137 ARF1P2 gene_435
ENSG00000235369 RPL36AP15 gene_436
ENSG00000226653 OR13Z1P gene_437
ENSG00000002549 LAP3 gene_438
ENSG00000255807 PTP4A1P2 gene_439
ENSG00000115310 RTN4 gene_440
ENSG00000224402 OR6D1P gene_441
ENSG00000231952 DPY19L1P2 gene_442
ENSG00000240184 PCDHGC3 gene_443
ENSG00000103274 NUBP1 gene_444
ENSG00000164221 CCDC112 gene_445
ENSG00000196693 ZNF33B gene_446
ENSG00000207689 MIR548A2 gene_447
ENSG00000119537 KDSR gene_448
ENSG00000139372 TDG gene_449
ENSG00000266145 RHOT1P1 gene_450
ENSG00000173213 TUBB8P12 gene_451
ENSG00000184588 PDE4B gene_452
ENSG00000247844 CCAT1 gene_453
ENSG00000235831 BHLHE40-AS1 gene_454
ENSG00000136891 TEX10 gene_455
ENSG00000113356 POLR3G gene_456
ENSG00000067992 PDK3 gene_457
ENSG00000226677 IGBP1P1 gene_458
ENSG00000252951 RNA5SP165 gene_459
ENSG00000074935 TUBE1 gene_460
ENSG00000101464 PIGU gene_461
ENSG00000215544 BCRP7 gene_462
ENSG00000162585 FAAP20 gene_463
ENSG00000235026 DPP10-AS1 gene_464
ENSG00000254636 ARMS2 gene_465
ENSG00000120370 GORAB gene_466
ENSG00000183791 TCEB3C gene_467
ENSG00000199150 MIRLET7G gene_468
ENSG00000213070 HMGB3P6 gene_469
ENSG00000157349 DDX19B gene_470
ENSG00000141404 GNAL gene_471
ENSG00000213735 ANAPC10P1 gene_472
ENSG00000057663 ATG5 gene_473
ENSG00000111276 CDKN1B gene_474
ENSG00000171180 OR2M4 gene_475
ENSG00000136244 IL6 gene_476
ENSG00000163833 FBXO40 gene_477
ENSG00000171680 PLEKHG5 gene_478
ENSG00000123610 TNFAIP6 gene_479
ENSG00000179526 SHARPIN gene_480
ENSG00000101019 UQCC1 gene_481
ENSG00000169193 CCDC126 gene_482
ENSG00000156030 ELMSAN1 gene_483
ENSG00000233570 LINC00690 gene_484
ENSG00000235065 RPL24P2 gene_485
ENSG00000162552 WNT4 gene_486
ENSG00000218574 HNRNPA1P37 gene_487
ENSG00000138735 PDE5A gene_488
ENSG00000188157 AGRN gene_489
ENSG00000142208 AKT1 gene_490
ENSG00000254407 PHBP17 gene_491
ENSG00000233686 PIEZO1P1 gene_492
ENSG00000240755 ERLEC1P1 gene_493
ENSG00000135355 GJA10 gene_494
ENSG00000213585 VDAC1 gene_495
ENSG00000123870 ZNF137P gene_496
ENSG00000184992 BRI3BP gene_497
ENSG00000137504 CREBZF gene_498
ENSG00000258399 MEG8 gene_499
ENSG00000168918 INPP5D gene_500
ENSG00000146938 NLGN4X gene_501
ENSG00000152291 TGOLN2 gene_502
ENSG00000182993 C12orf60 gene_503
ENSG00000165359 DDX26B gene_504
ENSG00000240058 ARGFXP1 gene_505
ENSG00000238427 RNU7-136P gene_506
ENSG00000114125 RNF7 gene_507
ENSG00000008838 MED24 gene_508
ENSG00000082153 BZW1 gene_509
ENSG00000252929 RNU6-218P gene_510
ENSG00000241350 PMS2P11 gene_511
ENSG00000166710 B2M gene_512
ENSG00000178202 KDELC2 gene_513
ENSG00000277325 MIR6756 gene_514
ENSG00000255408 PCDHA3 gene_515
ENSG00000200388 RNU6-618P gene_516
ENSG00000169251 NMD3 gene_517
ENSG00000214185 XPOTP1 gene_518
ENSG00000152818 UTRN gene_519
ENSG00000231849 UBE2V2P4 gene_520
ENSG00000201806 RNU4-8P gene_521
ENSG00000121940 CLCC1 gene_522
ENSG00000231292 IGKV1OR2-108 gene_523
ENSG00000224908 TIMM8BP2 gene_524
ENSG00000243772 KIR2DL3 gene_525
ENSG00000080823 MOK gene_526
ENSG00000265072 MIR3652 gene_527
ENSG00000200875 RNU6-340P gene_528
ENSG00000138593 SECISBP2L gene_529
ENSG00000092140 G2E3 gene_530
ENSG00000183495 EP400 gene_531
ENSG00000101003 GINS1 gene_532
ENSG00000145700 ANKRD31 gene_533
ENSG00000163633 C4orf36 gene_534
ENSG00000225644 RPL35AP4 gene_535
ENSG00000260318 COX6CP1 gene_536
ENSG00000264329 MIR3911 gene_537
ENSG00000118491 ZC2HC1B gene_538
ENSG00000276598 MIR6893 gene_539
ENSG00000241923 RPL14P3 gene_540
ENSG00000185864 NPIPB4 gene_541
ENSG00000181036 FCRL6 gene_542
ENSG00000215353 C1QBPP1 gene_543
ENSG00000222765 RNU2-40P gene_544
ENSG00000127527 EPS15L1 gene_545
ENSG00000180304 OAZ2 gene_546
ENSG00000180658 OR2A4 gene_547
ENSG00000276281 RN7SL126P gene_548
ENSG00000277357 NPAP1P7 gene_549
ENSG00000252950 RNA5SP490 gene_550
ENSG00000273685 MIR219B gene_551
ENSG00000211817 TRAV38-2DV8 gene_552
ENSG00000250361 GYPB gene_553
ENSG00000198478 SH3BGRL2 gene_554
ENSG00000170920 OR7G3 gene_555
ENSG00000206733 RNU6-641P gene_556
ENSG00000271503 CCL5 gene_557
ENSG00000229578 LINC00358 gene_558
ENSG00000074706 IPCEF1 gene_559
ENSG00000137269 LRRC1 gene_560
ENSG00000237757 EEF1A1P30 gene_561
ENSG00000142798 HSPG2 gene_562
ENSG00000164442 CITED2 gene_563
ENSG00000107104 KANK1 gene_564
ENSG00000167895 TMC8 gene_565
ENSG00000187122 SLIT1 gene_566
ENSG00000234304 SGOL1P2 gene_567
ENSG00000114107 CEP70 gene_568
ENSG00000172346 CSDC2 gene_569
ENSG00000170803 OR2AG1 gene_570
ENSG00000230061 TRPM2-AS gene_571
ENSG00000068903 SIRT2 gene_572
ENSG00000189298 ZKSCAN3 gene_573
ENSG00000227536 SOCS5P4 gene_574
ENSG00000010379 SLC6A13 gene_575
ENSG00000279770 LINC00552 gene_576
ENSG00000266262 MIR4428 gene_577
ENSG00000252082 RNU6-547P gene_578
ENSG00000197858 GPAA1 gene_579
ENSG00000052795 FNIP2 gene_580
ENSG00000107954 NEURL1 gene_581
ENSG00000239490 RPS4XP18 gene_582
ENSG00000199903 RNU6-1273P gene_583
ENSG00000223274 RNA5SP498 gene_584
ENSG00000142207 URB1 gene_585
ENSG00000234766 LINC01496 gene_586
ENSG00000244694 PTCHD4 gene_587
ENSG00000021852 C8B gene_588
ENSG00000105737 GRIK5 gene_589
ENSG00000220378 KRT8P42 gene_590
ENSG00000229221 HNRNPA1P66 gene_591
ENSG00000146094 DOK3 gene_592
ENSG00000227729 RD3L gene_593
ENSG00000242276 RPL5P3 gene_594
ENSG00000251022 THAP9-AS1 gene_595
ENSG00000186526 CYP4F8 gene_596
ENSG00000265892 RN7SL311P gene_597
ENSG00000139835 GRTP1 gene_598
ENSG00000156709 AIFM1 gene_599
ENSG00000223619 MTCO1P17 gene_600
ENSG00000222844 RNU6-321P gene_601
ENSG00000064932 SBNO2 gene_602
ENSG00000242366 UGT1A8 gene_603
ENSG00000038274 MAT2B gene_604
ENSG00000250045 CBX3P3 gene_605
ENSG00000244691 RPL10AP1 gene_606
ENSG00000102466 FGF14 gene_607
ENSG00000239332 LINC01119 gene_608
ENSG00000252959 RNA5SP170 gene_609
ENSG00000128578 STRIP2 gene_610
ENSG00000137710 RDX gene_611
ENSG00000119139 TJP2 gene_612
ENSG00000211648 IGLV1-47 gene_613
ENSG00000244203 FOXP1-AS1 gene_614
ENSG00000106603 COA1 gene_615
ENSG00000224634 ZNF736P6Y gene_616
ENSG00000228878 SEPT7-AS1 gene_617
ENSG00000252018 RNU2-30P gene_618
ENSG00000123094 RASSF8 gene_619
ENSG00000197457 STMN3 gene_620
ENSG00000111863 ADTRP gene_621
ENSG00000141086 CTRL gene_622
ENSG00000152592 DMP1 gene_623
ENSG00000188517 COL25A1 gene_624
ENSG00000116198 CEP104 gene_625
ENSG00000228578 TUBB1P2 gene_626
ENSG00000164494 PDSS2 gene_627
ENSG00000131355 ADGRE3 gene_628
ENSG00000261333 CD24P2 gene_629
ENSG00000231738 TSPAN19 gene_630
ENSG00000265110 MIR4731 gene_631
ENSG00000211826 TRDJ4 gene_632
ENSG00000214711 CAPN14 gene_633
ENSG00000270800 RPS10-NUDT3 gene_634
ENSG00000245534 RORA-AS1 gene_635
ENSG00000223006 RN7SKP137 gene_636
ENSG00000230584 CCT5P2 gene_637
ENSG00000162365 CYP4A22 gene_638
ENSG00000271415 RPL23AP90 gene_639
ENSG00000116981 NT5C1A gene_640
ENSG00000201831 SNORD115-1 gene_641
ENSG00000237740 NPAP1P3 gene_642
ENSG00000200665 RNU6-1188P gene_643
ENSG00000232799 CRYGFP gene_644
ENSG00000169908 TM4SF1 gene_645
ENSG00000137814 HAUS2 gene_646
ENSG00000200924 RNU6-1048P gene_647
ENSG00000269713 NBPF9 gene_648
ENSG00000266643 MIR3677 gene_649
ENSG00000263973 MIR4760 gene_650
ENSG00000213906 LTB4R2 gene_651
ENSG00000110375 UPK2 gene_652
ENSG00000267717 SRSF10P1 gene_653
ENSG00000268908 VN1R92P gene_654
ENSG00000021300 PLEKHB1 gene_655
ENSG00000108187 PBLD gene_656
ENSG00000125458 NT5C gene_657
ENSG00000119866 BCL11A gene_658
ENSG00000110321 EIF4G2 gene_659
ENSG00000139517 LNX2 gene_660
ENSG00000207068 RNU6-463P gene_661
ENSG00000281664 LINC00538 gene_662
ENSG00000264652 MIR4649 gene_663
ENSG00000239189 RNU6-634P gene_664
ENSG00000217716 RPS10P3 gene_665
ENSG00000235481 UBE2R2-AS1 gene_666
ENSG00000178996 SNX18 gene_667
ENSG00000166862 CACNG2 gene_668
ENSG00000178882 FAM101A gene_669
ENSG00000153002 CPB1 gene_670
ENSG00000222659 RNU2-8P gene_671
ENSG00000228056 CFL1P3 gene_672
ENSG00000206985 RNU6-198P gene_673
ENSG00000145029 NICN1 gene_674
ENSG00000187747 OR52B6 gene_675
ENSG00000212901 KRTAP3-1 gene_676
ENSG00000230052 MTND3P2 gene_677
ENSG00000175202 HIGD2B gene_678
ENSG00000119396 RAB14 gene_679
ENSG00000106538 RARRES2 gene_680
ENSG00000161654 LSM12 gene_681
ENSG00000235759 ARHGAP42P3 gene_682
ENSG00000156876 SASS6 gene_683
ENSG00000199593 SNORD114-14 gene_684
